,dialogue_id,service_call_method,conversation,instruction,service_call_parameters
11,1_00011,FindRestaurants,"USER:Can you help me find a place to eat at?
SYSTEM:Which city are you looking in?
USER:Cupertino, please.
SYSTEM:What kind of food would you like? American, Indian, or something else?
USER:Malaysian sounds good right now.
",Could you help me find a restaurant in Cupertino for 2 people that serves Malaysian food?,"{'city': 'Cupertino', 'cuisine': 'Malaysian'}"
12,1_00012,FindRestaurants,"USER:Hello, could you help me search for a place to dine in?
SYSTEM:Sure thing, which area are you interested in and what is your preferred cuisine, such as Italian and Indian?
USER:I would prefer a restaurant which serves up Cambodian food in SF.
",Could you help me find a restaurant serving Cambodian food in SF?,"{'city': 'San Francisco', 'cuisine': 'Vietnamese'}"
13,1_00013,FindRestaurants,"USER:I have a plan to eat out side for which I need some best places, can you search one for me?
SYSTEM:Do you have any interested type of food to eat and in which city?
USER:Asian kind of food will be good for me and please search it in Fremont City.
",Please find a restaurant for me in Fremont City that serves Asian food.,"{'city': 'Fremont', 'cuisine': 'Asian'}"
14,1_00014,FindRestaurants,"USER:I want to find a restaurant in Albany.
SYSTEM:What type of restaurant would you like
USER:Barbecue is the best.
",I want to find a barbecue restaurant in Albany.,"{'city': 'Albany', 'cuisine': 'American'}"
15,1_00015,FindRestaurants,"USER:Can you pull up a list of places to eat?
SYSTEM:Sure, what city should I search? And what kind of food would you like?
USER:Search San Francisco for Asian Fusion food
",Find a restaurant for me in San Francisco for Asian Fusion food.,"{'city': 'San Francisco', 'cuisine': 'Asian'}"
16,1_00016,FindRestaurants,"USER:I'm looking for a good place to get something to eat, can you help?
SYSTEM:Sure. What kind of food do you want? You can ask for Mexican, American, Sushi, or anything else. And also, what city should I search in?
USER:Oh, I'm in Oakland. Please find an American restaurant.
","Find a restaurant in Oakland for me that serves American food, please!","{'city': 'Oakland', 'cuisine': 'American'}"
17,1_00017,FindRestaurants,"USER:I'm looking for somewhere to eat.
SYSTEM:Where should I search?
USER:In Oakland.
SYSTEM:What type of cuisine? For example, Chinese, American, or something else?
USER:I want pizza and pasta.
",Find a restaurant for two people in Oakland that serves pizza and pasta.,"{'city': 'Oakland', 'cuisine': 'Italian'}"
18,1_00018,FindRestaurants,"USER:I'm looking for a restaurant.
SYSTEM:In what city are you located and what type of food.
USER:Asian Fusion in Concord.
",Can you help me find a restaurant for Asian Fusion in Concord?,"{'city': 'Concord', 'cuisine': 'Sushi'}"
19,1_00019,FindRestaurants,"USER:Are there any Mexican places in Rohnert Park?
",Can you Find a Restaurant for me in Rohnert Park?,"{'city': 'Rohnert Park', 'cuisine': 'Mexican'}"
20,1_00020,FindRestaurants,"USER:I'm getting pretty hungry and need to find a place to eat.
SYSTEM:What are your preference for a dining location?
USER:I would like something that I can pick-up in San Fran at any price range.
","I need to find a restaurant in San Fran for pick-up, as I'm getting hungry!","{'city': 'San Francisco', 'cuisine': 'Take-out'}"
21,1_00021,FindRestaurants,"USER:Can you help me find a restaurant?
SYSTEM:Yes, which city shall I search?
USER:I prefer Redwood City.
SYSTEM:Do you have a preference regarding the type of food?
USER:I would like Spanish food, economical pricing preferred.
",Can you help me find a restaurant in Redwood City for two people that serves economical Spanish food?,"{'city': 'Redwood City', 'cuisine': 'Spanish', 'price_range': 'moderate'}"
22,1_00022,FindRestaurants,"USER:I am looking for a place to eat. Can you find restaurants specializing in Singaporean cuisine near me?
SYSTEM:Okay, where would you like to eat?
USER:I am looking for restaurants located in Millbrae.
",Can you find a restaurant specializing in Singaporean cuisine for me in Millbrae?,"{'city': 'Millbrae', 'cuisine': 'Singaporean'}"
23,1_00023,FindRestaurants,"USER:Can you help me find an afforadable place to eat?
SYSTEM:What city do you want me to look in?
USER:Please look for a place in Calistoga.
SYSTEM:Is there any particular type of food you want, like Chinese, Mexican, or anything else?
USER:I'm in the mood for Cambodian food.
",Can you help me find a restaurant for Cambodian food in Calistoga?,"{'city': 'Calistoga', 'cuisine': 'Thai', 'price_range': 'moderate'}"
24,1_00024,FindRestaurants,"USER:I will be going to eat with a friend what expensive restaurants do you recommend?
SYSTEM:What type of cuisine do you want? Mexican, Chinese or which one?
USER:I want something with Fish but make it an average priced restaurant.
SYSTEM:In what city do you want to look for?
USER:I want to eat in Burlingame.
","Find a restaurant for two in Burlingame, ideally one that serves fish and is average priced, as I'm planning to go out to eat soon with a friend.","{'city': 'Burlingame', 'cuisine': 'Seafood', 'price_range': 'moderate'}"
25,1_00025,FindRestaurants,"USER:I am tired of eating my cooking. I want to eat out tonight.
SYSTEM:What type of cuisine would you like?
USER:I am in the mood for Izakaya cuisine.
SYSTEM:Which city would you like me to look in?
USER:I want something in Rohnert Park
","Find a restaurant for Izakaya cuisine in Rohnert Park tonight, as I’m tired of eating my cooking and want to eat out!","{'city': 'Rohnert Park', 'cuisine': 'Japanese'}"
26,1_00026,FindRestaurants,"USER:I am looking for an inexpensive place to eat that has live music.
SYSTEM:Which city would you like to search? And what type of food would you prefer such as Mexican, Italian or something else?
USER:I'd like some soup, and I'm looking in San Ramon.
",Find a restaurant for two in San Ramon that serves soup and has live music!,"{'city': 'San Ramon', 'cuisine': 'Soup', 'has_live_music': 'True', 'price_range': 'inexpensive'}"
27,1_00027,FindRestaurants,"USER:Can you help me find somewhere to eat?
SYSTEM:Sure, what kind of food are you in the mood for, and in which city?
USER:Search in Cupertino for Dumplings.
",Can you help me find a restaurant in Cupertino for Dumplings?,"{'city': 'Cupertino', 'cuisine': 'Chinese'}"
28,1_00028,FindRestaurants,"USER:Hey! Today feeling so tired... Wish to have some food outside in a good restaurant... Can you find me one?
SYSTEM:Yup! What kind of food do you like to have - Chinese, American, Italian etc? Which city you would prefer to have your lunch?
USER:I would love to taste some Seafood in San Mateo. Please find some good hotels.
",Please find a good restaurant for me in San Mateo where I can enjoy some seafood today.,"{'city': 'San Mateo', 'cuisine': 'Seafood'}"
29,1_00029,FindRestaurants,"USER:I'm looking for somewhere in Dublin to have a meal and a drink.
SYSTEM:What kind of food do you want to eat?
USER:I feel like a burger.
",Find a restaurant for 1 person in Dublin on a date for a burger and a drink.,"{'city': 'Dublin', 'cuisine': 'American', 'serves_alcohol': 'True'}"
30,1_00030,FindRestaurants,"USER:I am bored of eating food from home , i need a change . Will you find me a place to eat? It can be costly priced and i am very fond of it
SYSTEM:Which type of food you need whether Indian, Chinese or Anything other variety and In which city i should look for?
USER:I need Pizza kind of food and i wish to eat in city Napa.
","Find a restaurant for me in Napa for pizza, as I'm looking for a change from home-cooked meals.","{'city': 'Napa', 'cuisine': 'Italian', 'price_range': 'expensive'}"
31,1_00031,FindRestaurants,"USER:I'm starting to get hungry. I want to go eat at a nice restaurant.
SYSTEM:Sure. What city would you like to eat in?
USER:Milpitas.
SYSTEM:Do you have a particular type of food you are craving? Mexican? American? Something else?
USER:I feel like Cambodian tonight.
","Find a restaurant in Milpitas for a nice Cambodian meal tonight, as I'm starting to get hungry!","{'city': 'Milpitas', 'cuisine': 'Vietnamese'}"
32,1_00032,FindRestaurants,"USER:I'm planning on going out to eat later on. Can you help me find a place to eat at?
SYSTEM:What sort of food do you want to eat and which city should I look in?
USER:I'd like to go to a restaurant in Martinez that serves Thai food.
",Could you help me find a restaurant in Martinez that serves Thai food for later?,"{'city': 'Martinez', 'cuisine': 'Thai'}"
33,1_00033,FindRestaurants,"USER:I am looking for an intermediate priced eating place in the nearby area.
SYSTEM:What is your preference in regards to city and type of cuisine? You can say something like Italian, American or anything else.
USER:Any place in Pleasanton which serves Ramen kind of food and also alcohol will be ideal.
","Find a restaurant for me in Pleasanton that serves Ramen and alcohol, please!","{'city': 'Pleasanton', 'cuisine': 'Japanese', 'price_range': 'moderate', 'serves_alcohol': 'True'}"
34,1_00034,FindRestaurants,"USER:I would like to it in a place in Pleasanton.
SYSTEM:What food would you like to eat?
USER:I would love some Noodles
",Find a restaurant for some noodles in Pleasanton.,"{'city': 'Pleasanton', 'cuisine': 'Chinese'}"
35,1_00035,FindRestaurants,"USER:I'd like to find a place to eat.
SYSTEM:What city would you like to eat in and what kind of food do you like?
USER:I'd like a Barbecue food restaurant in Campbell.
",I'd like to find a barbecue restaurant in Campbell.,"{'city': 'Campbell', 'cuisine': 'American'}"
36,1_00036,FindRestaurants,"USER:Will you find me a place to eat?
SYSTEM:Which city?
USER:Palo Alto.
SYSTEM:What kind of food?
USER:Brazilian.
",Find me a Brazilian restaurant in Palo Alto for dinner.,"{'city': 'Palo Alto', 'cuisine': 'Brazilian'}"
37,1_00037,FindRestaurants,"USER:Will you find me somewhere to eat?
SYSTEM:Sure, what style are you in the mood for? How about Chinese or Mexican?
USER:I really need good pasta, I'm underweight.
SYSTEM:Of course, where do you want to go?
USER:Campbell please, thanks.
","Find a restaurant for me in Campbell that serves good pasta, please!","{'city': 'Campbell', 'cuisine': 'Italian'}"
38,1_00038,FindRestaurants,"USER:I want to eat out at an intermediate priced location, can you find me some options?
SYSTEM:What food do you fancy? Is there anywhere you particularly want to go?
USER:I want to go to Milpitas. Spicy Indian food sounds perfect.
",Can you find a restaurant for me in Milpitas for a group of people looking for spicy Indian food?,"{'city': 'Milpitas', 'cuisine': 'Indian', 'price_range': 'moderate'}"
39,1_00039,FindRestaurants,"USER:I am planning to go out for dinner. Can you find me restaurants nearby?
SYSTEM:Do you have a specific area in mind where you would like to eat.
USER:I would like to eat in Milpitas and the restaurant should be in the moderate price range.
SYSTEM:Is there a particular cuisine you would like?
USER:I am looking for restaurants that offer Take-out.
",Can you find a restaurant for dinner in Milpitas for me and a friend that offers take-out and is in the moderate price range?,"{'city': 'Milpitas', 'cuisine': 'Take-out', 'price_range': 'moderate'}"
40,1_00040,FindRestaurants,"USER:I'm feeling hungry, do you know of any places that average priced?
SYSTEM:Is there any particular food you're looking for, such as Italian, American, or anything else?
USER:I'm feeling a craving for Noodles.
SYSTEM:What city would you like me to look in?
USER:Look for a place in Dublin.
",Find a restaurant for 1 person in Dublin that serves average-priced noodles.,"{'city': 'Dublin', 'cuisine': 'Chinese', 'price_range': 'moderate'}"
41,1_00041,FindRestaurants,"USER:I'm looking for somewhere to eat with my girlfriend, do you know of any good restaurants?
SYSTEM:What city should I search for the best restaurants?
USER:I want something with a moderate priced in Petaluma. It also needs to serve alcohol.
SYSTEM:What type of food do you want to eat?
USER:Some type of curry would be great, so Indian or Thai maybe.
","Find a restaurant for two in Petaluma that serves curry and alcohol, please!","{'city': 'Petaluma', 'cuisine': 'Indian', 'price_range': 'moderate', 'serves_alcohol': 'True'}"
42,1_00042,FindRestaurants,"USER:I'm on a budget and I am looking for a cafe that is not very costly.
SYSTEM:What type of food are you in the mood for? How about Italian, Indian, something else?
USER:I am really hungry for Pizza and Pasta.
SYSTEM:Where would you like to eat at, what city?
USER:I have to have something in San Francisco.
",Find a restaurant for two people in San Francisco on a budget where I can enjoy some delicious pizza and pasta!,"{'city': 'San Francisco', 'cuisine': 'Italian', 'price_range': 'moderate'}"
43,1_00043,FindRestaurants,"USER:I'm hungry. Find places to eat please.
SYSTEM:Sure thing. Which city would you like to eat in?
USER:Let's go with Foster City please.
SYSTEM:Sure. What kind of food are you hungry for?
USER:Spicy Indian sound really good.
",Find a restaurant in Foster City for a delicious spicy Indian meal!,"{'city': 'Foster City', 'cuisine': 'Indian'}"
44,1_00044,FindRestaurants,"USER:Can you find a place to eat?
SYSTEM:What kind of food are you looking for? An example can be Chinese, American or anything else.
USER:Some Sichuan food would be good.
SYSTEM:Which city should I search in?
USER:Look in Mountain View.
",Can you find a restaurant for Sichuan food in Mountain View?,"{'city': 'Mountain View', 'cuisine': 'Chinese'}"
45,1_00045,FindRestaurants,"USER:I would like to find a Chinese food restaurant.
SYSTEM:In which city?
USER:Search in San Mateo.
",I would like to find a Chinese food restaurant in San Mateo.,"{'city': 'San Mateo', 'cuisine': 'Chinese'}"
46,1_00046,FindRestaurants,"USER:Can you find me place to eat?
SYSTEM:What kind of food would you like to have and where would you like me to search in?
USER:Food kind of California will be perfect in SF.
",Find a restaurant for me in SF that serves California food.,"{'city': 'San Francisco', 'cuisine': 'California'}"
47,1_00047,FindRestaurants,"USER:I am searching for a eating place with a intermediate priced
SYSTEM:Which city you are interested and what is the type of food you are searching for like American, Mexican etc
USER:Some Izakaya kind of food good in Foster City
",Find a restaurant for a group of people in Foster City that serves some Izakaya kind of food at an intermediate price.,"{'city': 'Foster City', 'cuisine': 'Japanese', 'price_range': 'moderate'}"
48,1_00048,FindRestaurants,"USER:i am meeting my friend after a long time and i wish to eat along with him. Will you find a place to eat and i don't have a price preference.
SYSTEM:Fine, Its sounds good. What type of food are you looking for ? whether American, Indian or anything else. Which city do you prefer?
USER:I like Pizza and Pasta kind of food and the place should be in San Francisco.
",Could you find a restaurant for two in San Francisco where I can enjoy pizza and pasta?,"{'city': 'San Francisco', 'cuisine': 'Italian'}"
49,1_00049,FindRestaurants,"USER:Can you help me locate a place to eat?
SYSTEM:Which city should I look in and what type of food would you like? Please say Chinese, American or anything else.
USER:Some Punjabi food would be great. Please look in Pleasanton.
",Please find a restaurant for me in Pleasanton that serves Punjabi food.,"{'city': 'Pleasanton', 'cuisine': 'Indian'}"
50,1_00050,FindRestaurants,"USER:I'm looking for somewhere to eat.
SYSTEM:Where should I look? And what type of cuisine?
USER:I'd like pizza and somewhere in Sunnyvale.
",Find a restaurant for pizza in Sunnyvale.,"{'city': 'Sunnyvale', 'cuisine': 'Italian'}"
51,1_00000,ReserveRestaurant,"USER:I am feeling hungry so I would like to find a place to eat.
SYSTEM:Do you have a specific which you want the eating place to be located at?
USER:I would like for it to be in San Jose.
SYSTEM:Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?
USER:I usually like eating the American type of food.
SYSTEM:I see that at 71 Saint Peter there is a good restaurant which is in San Jose.
USER:Can you give me the address of this restaurant.
SYSTEM:If you want to go to this restaurant you can find it at 71 North San Pedro Street.
USER:Can you give me the phone number that I can contact them with?
SYSTEM:If you want to phone them you can at 408-971-8523.
USER:Is there some other restaurant which you can suggest?
SYSTEM:How would you like Bazille restaurant which is situated in San Jose.
USER:Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.
SYSTEM:I see that 7 restaurants suit to what you requested. Bird Dog seems as a good restaurant and is located in Palo Alto.
USER:Alright, that seems good. I would like to make a booking at this restaurant.
SYSTEM:For which time do you want the booking to be?
USER:I will be eating there at 11:30 am so make it for then.
SYSTEM:Can you please confirm that you want to book a table for 2 at 11:30 am at the Bird Dog restaurant in Palo Alto for today.
USER:That suits me well. Can you tell me if they feature live music?
",Please reserve a table for 2 at Bird Dog in Palo Alto today at 11:30 am.,"{'city': 'Palo Alto', 'date': '2019-03-01', 'party_size': '2', 'restaurant_name': 'Bird Dog', 'time': '11:30'}"
52,1_00002,ReserveRestaurant,"USER:Help me find a good restaurant.
SYSTEM:In which city are you looking for the restaurant and do you have any preferred cuisine?
USER:Find me Ethiopian cuisine in Berkeley.
SYSTEM:Of the 4 Ethiopian restaurants in Berkeley, Addis Restaurant is a good one.
USER:Do they have live music?
SYSTEM:I'm sorry. They do not have live music.
USER:That's okay. I'd like to reserve a table for the 4th.
SYSTEM:At what time will you be arriving at the restaurant?
USER:Reserve the table for the 2nd of this month at 17:15.
SYSTEM:Please confirm that you want to reserve a table for 2 at the Addis Restaurant in Berkeley for tomorrow at 5:15 pm.
USER:That's right. Do they serve alcohol? And how expensive is the place?
",Please reserve a table for me at Addis Restaurant in Berkeley for 2 people on the 2nd of this month at 17:15.,"{'city': 'Berkeley', 'date': '2019-03-02', 'party_size': '2', 'restaurant_name': 'Addis Restaurant', 'time': '17:15'}"
53,1_00004,ReserveRestaurant,"USER:I'd like to find a place to eat.
SYSTEM:Where should I look? What kind of food are you in the mood for? You can say things like Mexican, Italian or any other kind of food.
USER:Lobster sounds great. Please search in San Mateo.
SYSTEM:I have found 9 restaurants. Andes Cafe San Mateo is a great restaurant in San Mateo.
USER:What's their phone number?
SYSTEM:Their number is 650-581-1305.
USER:Any other suggestions?
SYSTEM:Fuji Sukiyaki is another great choice in San Mateo.
USER:Do they have live music?
SYSTEM:They do not.
USER:Any other suggestions?
SYSTEM:Golden Wok would be a great choice in San Mateo.
USER:That would work great. I would like to make a reservation there at evening 5:30 on March 14th.
SYSTEM:Please confirm the following: You want to eat at Golden Wok in San Mateo on March 14th starting at 5:30 pm. The reservation would be for 2 people.
USER:Yes, that would be great. Do they serve liquor or have live music?
",Please reserve a table for 2 at Golden Wok in San Mateo on March 14th at 5:30 pm.,"{'city': 'San Mateo', 'date': '2019-03-14', 'party_size': '2', 'restaurant_name': 'Golden Wok', 'time': '17:30'}"
54,1_00005,ReserveRestaurant,"USER:I'm looking for a Filipino place to eat.
SYSTEM:Which City are you looking at?
USER:I want to eat in San Bruno
SYSTEM:I have 3 restaurants, Cabalen is a nice one in San Bruno.
USER:Any other suggestions?
SYSTEM:What about Isla Restaurant in San Bruno?
USER:How cheap is it and how much does it cost?
SYSTEM:It is moderate pricing and they are at 448 San Mateo Avenue
USER:Please can you make the reservation
SYSTEM:What time for?
USER:On the 12th at six pm
SYSTEM:Please confirm: Booking a table for 2 at Isla Restaurant in San Bruno. It is on March 12th at 6 pm.
USER:That's good. Do they serve liquor and what is there number?
",Please reserve a table for 2 at Isla Restaurant in San Bruno on March 12th at 6 pm.,"{'city': 'San Bruno', 'date': '2019-03-12', 'party_size': '2', 'restaurant_name': 'Isla Restaurant', 'time': '18:00'}"
55,1_00007,ReserveRestaurant,"USER:My friend and I are looking for a place to eat.
SYSTEM:Please tell me what type of food you are looking for just say Mexican, Chinese or anything else. Also what city would you like me to search int.
USER:My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.
SYSTEM:San Jose has a restaurant called Al Castello Ristorante that is nice.
USER:Is there any other restaurant that you can suggest?
SYSTEM:There is also a nice restaurant called Angelo's Italian Restaurant in San Jose.
USER:Can I please have the address and contact number?
SYSTEM:408-227-5502 is their phone and it is located at 436 Blossom Hill Road.
USER:Is there any other restaurant that you can suggest?
SYSTEM:There is another nice restaurant called Antonella's Ristorante in San Jose.
USER:That restaurant will work can you please make a reservation for 12:30.
SYSTEM:I will be booking a table at Antonella's Ristorante in San Jose. The reservation will be set at 12:30 pm for today. And it is for 2 people is this correct.
USER:Yes, thank you that is correct.
",Please Reserve a Restaurant for 2 people at 12:30 pm today at Antonella's Ristorante in San Jose.,"{'city': 'San Jose', 'date': '2019-03-01', 'party_size': '2', 'restaurant_name': ""Antonella's Ristorante"", 'time': '12:30'}"
56,1_00008,ReserveRestaurant,"USER:Can you find me something economical to eat in Pleasanton.
SYSTEM:Are you looking for Italian, Indian or something else?
USER:I would like some Italian food.
SYSTEM:Found 5 restaurants for you out of which De La Torre's Trattoria seems a great from Pleasanton.
USER:Can you provide the address and do they have live music?
SYSTEM:No, they do not have live music and its address is 6025 West Las Positas Boulevard.
USER:Any other recommendation?
SYSTEM:Forno Vecchio also seems nice and its located n Pleasanton as well.
USER:Can you provide more options?
SYSTEM:Another good restaurant in Pleasanton in Gay 90's Pizza Co.
USER:That sounds like a good choice for me.
SYSTEM:Is there anything else?
USER:Yes, make a reservation at the restaurant.
SYSTEM:What time do you want me to make the reservation?
USER:I'll reach there at 1:30 pm.
SYSTEM:Please confirm that you want to make a reservation at Gay 90's Pizza Co. which is located in Pleasanton for 2 people. The reservation is for today at 1:30 pm.
USER:No, change the time to 7 pm and for one person only.
SYSTEM:Alright, please confirm that the reservation is at 7 pm for 1 person.
USER:No, change it on next friday.
SYSTEM:Sure. Please confirm that the date is now next Friday and for 1 person.
USER:Yes. Sounds good.
",Please reserve a table for one person at Gay 90's Pizza Co. in Pleasanton next Friday at 7 pm.,"{'city': 'Pleasanton', 'date': '2019-03-08', 'party_size': '1', 'restaurant_name': ""Gay 90's Pizza Co."", 'time': '19:00'}"
57,1_00011,ReserveRestaurant,"USER:Can you help me find a place to eat at?
SYSTEM:Which city are you looking in?
USER:Cupertino, please.
SYSTEM:What kind of food would you like? American, Indian, or something else?
USER:Malaysian sounds good right now.
SYSTEM:I've found 2 Malaysian restaurants in Cupertino. Merlion Restaurant & Bar is one.
USER:What's the other one?
SYSTEM:Rasa Sayang is also is Cupertino.
USER:Does the restaurant have live music?
SYSTEM:No, they do now.
USER:Sounds fine to me. Can you help me make a reservation?
SYSTEM:At what time?
USER:A quarter past 5 in the evening, please.
SYSTEM:So you'd like a reservation for 2 at 5:15 pm today, at Rasa Sayang in Cupertino?
USER:No, I'd like it on March 13th.
SYSTEM:So you'd like a reservation at 5:15 pm on March 13th?
USER:No, I'd like it at half past 12 in the afternoon.
SYSTEM:So you'd like a reservation at 12:30 pm on March 13th?
USER:Yes, sounds good.
","Reserve a restaurant for 2 people at Rasa Sayang in Cupertino on March 13th at 12:30 pm, please!","{'city': 'Cupertino', 'date': '2019-03-13', 'party_size': '2', 'restaurant_name': 'Rasa Sayang', 'time': '12:30'}"
58,1_00015,ReserveRestaurant,"USER:Can you pull up a list of places to eat?
SYSTEM:Sure, what city should I search? And what kind of food would you like?
USER:Search San Francisco for Asian Fusion food
SYSTEM:Sure, I found 8 Immortals Restaurant in San Francisco
USER:Is there live music?
SYSTEM:Unfortunately no.
USER:Do they serve alcohol? And what's their phone number?
SYSTEM:No alcohol. The phone number is 415-731-5515
USER:Okay great. Please make a reservation for a party of six.
SYSTEM:Sure, what time?
USER:half past 5 in the evening please.
SYSTEM:Okay, got it. I will book a table at 8 Immortals Restaurant in San Francisco for 5:30 pm today, for 6 people.
USER:That's correct. What's the address?
",Please Reserve a Restaurant for 6 people at 5:30 pm today in San Francisco.,"{'city': 'San Francisco', 'date': '2019-03-01', 'party_size': '6', 'restaurant_name': '8 Immortals Restaurant', 'time': '17:30'}"
59,1_00016,ReserveRestaurant,"USER:I'm looking for a good place to get something to eat, can you help?
SYSTEM:Sure. What kind of food do you want? You can ask for Mexican, American, Sushi, or anything else. And also, what city should I search in?
USER:Oh, I'm in Oakland. Please find an American restaurant.
SYSTEM:I'd recommend Chop Bar in Oakland.
USER:Are their prices extravagant? How can I contact them.
SYSTEM:No, their prices are moderate. Their phone number is 510-834-2467.
USER:Okay, that sounds good. Can you reserve a table for me?
SYSTEM:What time would you like it?
USER:Please reserve it for six pm.
SYSTEM:Sure, please confirm that you'd like to book a table for 2 at Chop Bar in Oakland from 6 pm today.
USER:Yes that's perfect. What's their address? Do they have a live band?
",Please reserve a table for 2 at Chop Bar in Oakland today at 6 pm.,"{'city': 'Oakland', 'date': '2019-03-01', 'party_size': '2', 'restaurant_name': 'Chop Bar', 'time': '18:00'}"
60,1_00019,ReserveRestaurant,"USER:Are there any Mexican places in Rohnert Park?
SYSTEM:Chili's Grill & Bar is in Rohnert Park.
USER:Is it an inexpensive restaurant?
SYSTEM:It is a moderate priced place.
USER:What's their phone number?
SYSTEM:It is 707-585-9069.
USER:Are there any other restaurants? Something like Ramen would be good. I want something that is not very costly.
SYSTEM:1 restaurant named Kyoto fits that description. It's in Rohnert Park as well.
USER:That would be great!
SYSTEM:Is there anything else I can do?
USER:Make a reservation this morning 11:15 for three people.
SYSTEM:Just to confirm: I am booking a table for 3 today at 11:15 am at the Rohnert Park location of Kyoto.
USER:That's correct. What's their address?
",Please reserve a table for three people at Kyoto in Rohnert Park this morning at 11:15.,"{'city': 'Rohnert Park', 'date': '2019-03-01', 'party_size': '3', 'restaurant_name': 'Kyoto', 'time': '11:15'}"
61,1_00024,ReserveRestaurant,"USER:I will be going to eat with a friend what expensive restaurants do you recommend?
SYSTEM:What type of cuisine do you want? Mexican, Chinese or which one?
USER:I want something with Fish but make it an average priced restaurant.
SYSTEM:In what city do you want to look for?
USER:I want to eat in Burlingame.
SYSTEM:There are 2 possible restaurants. One of them is Grand Harbor located in Burlingame.
USER:That sounds great. Please make a reservation.
SYSTEM:At what time do you want to go?
USER:At quarter to 1 in the afternoon.
SYSTEM:Please confirm: Booking a table for 2 people at 12:45 pm for today at the Grand Harbor in Burlingame.
USER:Yes, that is correct. Do you have the phone number?
",Please reserve a table for 2 people at the Grand Harbor in Burlingame today at 12:45 pm.,"{'city': 'Burlingame', 'date': '2019-03-01', 'party_size': '2', 'restaurant_name': 'Grand Harbor', 'time': '12:45'}"
