dialogue_id,conversation,turn_services,intent,service_calls
1_00021,"USER:Can you help me find a restaurant?
SYSTEM:Yes, which city shall I search?
USER:I prefer Redwood City.
SYSTEM:Do you have a preference regarding the type of food?
USER:I would like Spanish food, economical pricing preferred.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Redwood City', 'cuisine': 'Spanish', 'price_range': 'moderate'}}]"
1_00022,"USER:I am looking for a place to eat. Can you find restaurants specializing in Singaporean cuisine near me?
SYSTEM:Okay, where would you like to eat?
USER:I am looking for restaurants located in Millbrae.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Millbrae', 'cuisine': 'Singaporean'}}]"
1_00023,"USER:Can you help me find an afforadable place to eat?
SYSTEM:What city do you want me to look in?
USER:Please look for a place in Calistoga.
SYSTEM:Is there any particular type of food you want, like Chinese, Mexican, or anything else?
USER:I'm in the mood for Cambodian food.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Calistoga', 'cuisine': 'Thai', 'price_range': 'moderate'}}]"
1_00024,"USER:I will be going to eat with a friend what expensive restaurants do you recommend?
SYSTEM:What type of cuisine do you want? Mexican, Chinese or which one?
USER:I want something with Fish but make it an average priced restaurant.
SYSTEM:In what city do you want to look for?
USER:I want to eat in Burlingame.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Burlingame', 'cuisine': 'Seafood', 'price_range': 'moderate'}}]"
1_00025,"USER:I am tired of eating my cooking. I want to eat out tonight.
SYSTEM:What type of cuisine would you like?
USER:I am in the mood for Izakaya cuisine.
SYSTEM:Which city would you like me to look in?
USER:I want something in Rohnert Park
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Rohnert Park', 'cuisine': 'Japanese'}}]"
1_00026,"USER:I am looking for an inexpensive place to eat that has live music.
SYSTEM:Which city would you like to search? And what type of food would you prefer such as Mexican, Italian or something else?
USER:I'd like some soup, and I'm looking in San Ramon.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Ramon', 'cuisine': 'Soup', 'has_live_music': 'True', 'price_range': 'inexpensive'}}]"
1_00027,"USER:Can you help me find somewhere to eat?
SYSTEM:Sure, what kind of food are you in the mood for, and in which city?
USER:Search in Cupertino for Dumplings.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Cupertino', 'cuisine': 'Chinese'}}]"
1_00028,"USER:Hey! Today feeling so tired... Wish to have some food outside in a good restaurant... Can you find me one?
SYSTEM:Yup! What kind of food do you like to have - Chinese, American, Italian etc? Which city you would prefer to have your lunch?
USER:I would love to taste some Seafood in San Mateo. Please find some good hotels.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Mateo', 'cuisine': 'Seafood'}}]"
1_00029,"USER:I'm looking for somewhere in Dublin to have a meal and a drink.
SYSTEM:What kind of food do you want to eat?
USER:I feel like a burger.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Dublin', 'cuisine': 'American', 'serves_alcohol': 'True'}}]"
1_00030,"USER:I am bored of eating food from home , i need a change . Will you find me a place to eat? It can be costly priced and i am very fond of it
SYSTEM:Which type of food you need whether Indian, Chinese or Anything other variety and In which city i should look for?
USER:I need Pizza kind of food and i wish to eat in city Napa.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Napa', 'cuisine': 'Italian', 'price_range': 'expensive'}}]"
1_00031,"USER:I'm starting to get hungry. I want to go eat at a nice restaurant.
SYSTEM:Sure. What city would you like to eat in?
USER:Milpitas.
SYSTEM:Do you have a particular type of food you are craving? Mexican? American? Something else?
USER:I feel like Cambodian tonight.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Milpitas', 'cuisine': 'Vietnamese'}}]"
1_00032,"USER:I'm planning on going out to eat later on. Can you help me find a place to eat at?
SYSTEM:What sort of food do you want to eat and which city should I look in?
USER:I'd like to go to a restaurant in Martinez that serves Thai food.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Martinez', 'cuisine': 'Thai'}}]"
1_00033,"USER:I am looking for an intermediate priced eating place in the nearby area.
SYSTEM:What is your preference in regards to city and type of cuisine? You can say something like Italian, American or anything else.
USER:Any place in Pleasanton which serves Ramen kind of food and also alcohol will be ideal.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Pleasanton', 'cuisine': 'Japanese', 'price_range': 'moderate', 'serves_alcohol': 'True'}}]"
1_00034,"USER:I would like to it in a place in Pleasanton.
SYSTEM:What food would you like to eat?
USER:I would love some Noodles
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Pleasanton', 'cuisine': 'Chinese'}}]"
1_00035,"USER:I'd like to find a place to eat.
SYSTEM:What city would you like to eat in and what kind of food do you like?
USER:I'd like a Barbecue food restaurant in Campbell.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Campbell', 'cuisine': 'American'}}]"
1_00036,"USER:Will you find me a place to eat?
SYSTEM:Which city?
USER:Palo Alto.
SYSTEM:What kind of food?
USER:Brazilian.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Palo Alto', 'cuisine': 'Brazilian'}}]"
1_00037,"USER:Will you find me somewhere to eat?
SYSTEM:Sure, what style are you in the mood for? How about Chinese or Mexican?
USER:I really need good pasta, I'm underweight.
SYSTEM:Of course, where do you want to go?
USER:Campbell please, thanks.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Campbell', 'cuisine': 'Italian'}}]"
1_00038,"USER:I want to eat out at an intermediate priced location, can you find me some options?
SYSTEM:What food do you fancy? Is there anywhere you particularly want to go?
USER:I want to go to Milpitas. Spicy Indian food sounds perfect.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Milpitas', 'cuisine': 'Indian', 'price_range': 'moderate'}}]"
1_00039,"USER:I am planning to go out for dinner. Can you find me restaurants nearby?
SYSTEM:Do you have a specific area in mind where you would like to eat.
USER:I would like to eat in Milpitas and the restaurant should be in the moderate price range.
SYSTEM:Is there a particular cuisine you would like?
USER:I am looking for restaurants that offer Take-out.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Milpitas', 'cuisine': 'Take-out', 'price_range': 'moderate'}}]"
1_00040,"USER:I'm feeling hungry, do you know of any places that average priced?
SYSTEM:Is there any particular food you're looking for, such as Italian, American, or anything else?
USER:I'm feeling a craving for Noodles.
SYSTEM:What city would you like me to look in?
USER:Look for a place in Dublin.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Dublin', 'cuisine': 'Chinese', 'price_range': 'moderate'}}]"
1_00041,"USER:I'm looking for somewhere to eat with my girlfriend, do you know of any good restaurants?
SYSTEM:What city should I search for the best restaurants?
USER:I want something with a moderate priced in Petaluma. It also needs to serve alcohol.
SYSTEM:What type of food do you want to eat?
USER:Some type of curry would be great, so Indian or Thai maybe.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Petaluma', 'cuisine': 'Indian', 'price_range': 'moderate', 'serves_alcohol': 'True'}}]"
1_00042,"USER:I'm on a budget and I am looking for a cafe that is not very costly.
SYSTEM:What type of food are you in the mood for? How about Italian, Indian, something else?
USER:I am really hungry for Pizza and Pasta.
SYSTEM:Where would you like to eat at, what city?
USER:I have to have something in San Francisco.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Francisco', 'cuisine': 'Italian', 'price_range': 'moderate'}}]"
1_00043,"USER:I'm hungry. Find places to eat please.
SYSTEM:Sure thing. Which city would you like to eat in?
USER:Let's go with Foster City please.
SYSTEM:Sure. What kind of food are you hungry for?
USER:Spicy Indian sound really good.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Foster City', 'cuisine': 'Indian'}}]"
1_00044,"USER:Can you find a place to eat?
SYSTEM:What kind of food are you looking for? An example can be Chinese, American or anything else.
USER:Some Sichuan food would be good.
SYSTEM:Which city should I search in?
USER:Look in Mountain View.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Mountain View', 'cuisine': 'Chinese'}}]"
1_00045,"USER:I would like to find a Chinese food restaurant.
SYSTEM:In which city?
USER:Search in San Mateo.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Mateo', 'cuisine': 'Chinese'}}]"
1_00046,"USER:Can you find me place to eat?
SYSTEM:What kind of food would you like to have and where would you like me to search in?
USER:Food kind of California will be perfect in SF.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Francisco', 'cuisine': 'California'}}]"
1_00047,"USER:I am searching for a eating place with a intermediate priced
SYSTEM:Which city you are interested and what is the type of food you are searching for like American, Mexican etc
USER:Some Izakaya kind of food good in Foster City
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Foster City', 'cuisine': 'Japanese', 'price_range': 'moderate'}}]"
1_00048,"USER:i am meeting my friend after a long time and i wish to eat along with him. Will you find a place to eat and i don't have a price preference.
SYSTEM:Fine, Its sounds good. What type of food are you looking for ? whether American, Indian or anything else. Which city do you prefer?
USER:I like Pizza and Pasta kind of food and the place should be in San Francisco.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'San Francisco', 'cuisine': 'Italian'}}]"
1_00049,"USER:Can you help me locate a place to eat?
SYSTEM:Which city should I look in and what type of food would you like? Please say Chinese, American or anything else.
USER:Some Punjabi food would be great. Please look in Pleasanton.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Pleasanton', 'cuisine': 'Indian'}}]"
1_00050,"USER:I'm looking for somewhere to eat.
SYSTEM:Where should I look? And what type of cuisine?
USER:I'd like pizza and somewhere in Sunnyvale.
",['Restaurants_1'],['FindRestaurants'],"[{'method': 'FindRestaurants', 'parameters': {'city': 'Sunnyvale', 'cuisine': 'Italian'}}]"
1_00000,"USER:I am feeling hungry so I would like to find a place to eat.
SYSTEM:Do you have a specific which you want the eating place to be located at?
USER:I would like for it to be in San Jose.
SYSTEM:Is there a specific cuisine type you enjoy, such as Mexican, Italian or something else?
USER:I usually like eating the American type of food.
SYSTEM:I see that at 71 Saint Peter there is a good restaurant which is in San Jose.
USER:Can you give me the address of this restaurant.
SYSTEM:If you want to go to this restaurant you can find it at 71 North San Pedro Street.
USER:Can you give me the phone number that I can contact them with?
SYSTEM:If you want to phone them you can at 408-971-8523.
USER:Is there some other restaurant which you can suggest?
SYSTEM:How would you like Bazille restaurant which is situated in San Jose.
USER:Do you have another restaurant matching my needs? For example a restaurant which is economical and is located in Palo Alto.
SYSTEM:I see that 7 restaurants suit to what you requested. Bird Dog seems as a good restaurant and is located in Palo Alto.
USER:Alright, that seems good. I would like to make a booking at this restaurant.
SYSTEM:For which time do you want the booking to be?
USER:I will be eating there at 11:30 am so make it for then.
SYSTEM:Can you please confirm that you want to book a table for 2 at 11:30 am at the Bird Dog restaurant in Palo Alto for today.
USER:That suits me well. Can you tell me if they feature live music?
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'Palo Alto', 'date': '2019-03-01', 'party_size': '2', 'restaurant_name': 'Bird Dog', 'time': '11:30'}}]"
1_00002,"USER:Help me find a good restaurant.
SYSTEM:In which city are you looking for the restaurant and do you have any preferred cuisine?
USER:Find me Ethiopian cuisine in Berkeley.
SYSTEM:Of the 4 Ethiopian restaurants in Berkeley, Addis Restaurant is a good one.
USER:Do they have live music?
SYSTEM:I'm sorry. They do not have live music.
USER:That's okay. I'd like to reserve a table for the 4th.
SYSTEM:At what time will you be arriving at the restaurant?
USER:Reserve the table for the 2nd of this month at 17:15.
SYSTEM:Please confirm that you want to reserve a table for 2 at the Addis Restaurant in Berkeley for tomorrow at 5:15 pm.
USER:That's right. Do they serve alcohol? And how expensive is the place?
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'Berkeley', 'date': '2019-03-02', 'party_size': '2', 'restaurant_name': 'Addis Restaurant', 'time': '17:15'}}]"
1_00004,"USER:I'd like to find a place to eat.
SYSTEM:Where should I look? What kind of food are you in the mood for? You can say things like Mexican, Italian or any other kind of food.
USER:Lobster sounds great. Please search in San Mateo.
SYSTEM:I have found 9 restaurants. Andes Cafe San Mateo is a great restaurant in San Mateo.
USER:What's their phone number?
SYSTEM:Their number is 650-581-1305.
USER:Any other suggestions?
SYSTEM:Fuji Sukiyaki is another great choice in San Mateo.
USER:Do they have live music?
SYSTEM:They do not.
USER:Any other suggestions?
SYSTEM:Golden Wok would be a great choice in San Mateo.
USER:That would work great. I would like to make a reservation there at evening 5:30 on March 14th.
SYSTEM:Please confirm the following: You want to eat at Golden Wok in San Mateo on March 14th starting at 5:30 pm. The reservation would be for 2 people.
USER:Yes, that would be great. Do they serve liquor or have live music?
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'San Mateo', 'date': '2019-03-14', 'party_size': '2', 'restaurant_name': 'Golden Wok', 'time': '17:30'}}]"
1_00005,"USER:I'm looking for a Filipino place to eat.
SYSTEM:Which City are you looking at?
USER:I want to eat in San Bruno
SYSTEM:I have 3 restaurants, Cabalen is a nice one in San Bruno.
USER:Any other suggestions?
SYSTEM:What about Isla Restaurant in San Bruno?
USER:How cheap is it and how much does it cost?
SYSTEM:It is moderate pricing and they are at 448 San Mateo Avenue
USER:Please can you make the reservation
SYSTEM:What time for?
USER:On the 12th at six pm
SYSTEM:Please confirm: Booking a table for 2 at Isla Restaurant in San Bruno. It is on March 12th at 6 pm.
USER:That's good. Do they serve liquor and what is there number?
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'San Bruno', 'date': '2019-03-12', 'party_size': '2', 'restaurant_name': 'Isla Restaurant', 'time': '18:00'}}]"
1_00007,"USER:My friend and I are looking for a place to eat.
SYSTEM:Please tell me what type of food you are looking for just say Mexican, Chinese or anything else. Also what city would you like me to search int.
USER:My family and I are in San Jose and the perfect place would have pizza and pasta. We don't have a price preference.
SYSTEM:San Jose has a restaurant called Al Castello Ristorante that is nice.
USER:Is there any other restaurant that you can suggest?
SYSTEM:There is also a nice restaurant called Angelo's Italian Restaurant in San Jose.
USER:Can I please have the address and contact number?
SYSTEM:408-227-5502 is their phone and it is located at 436 Blossom Hill Road.
USER:Is there any other restaurant that you can suggest?
SYSTEM:There is another nice restaurant called Antonella's Ristorante in San Jose.
USER:That restaurant will work can you please make a reservation for 12:30.
SYSTEM:I will be booking a table at Antonella's Ristorante in San Jose. The reservation will be set at 12:30 pm for today. And it is for 2 people is this correct.
USER:Yes, thank you that is correct.
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'San Jose', 'date': '2019-03-01', 'party_size': '2', 'restaurant_name': ""Antonella's Ristorante"", 'time': '12:30'}}]"
1_00008,"USER:Can you find me something economical to eat in Pleasanton.
SYSTEM:Are you looking for Italian, Indian or something else?
USER:I would like some Italian food.
SYSTEM:Found 5 restaurants for you out of which De La Torre's Trattoria seems a great from Pleasanton.
USER:Can you provide the address and do they have live music?
SYSTEM:No, they do not have live music and its address is 6025 West Las Positas Boulevard.
USER:Any other recommendation?
SYSTEM:Forno Vecchio also seems nice and its located n Pleasanton as well.
USER:Can you provide more options?
SYSTEM:Another good restaurant in Pleasanton in Gay 90's Pizza Co.
USER:That sounds like a good choice for me.
SYSTEM:Is there anything else?
USER:Yes, make a reservation at the restaurant.
SYSTEM:What time do you want me to make the reservation?
USER:I'll reach there at 1:30 pm.
SYSTEM:Please confirm that you want to make a reservation at Gay 90's Pizza Co. which is located in Pleasanton for 2 people. The reservation is for today at 1:30 pm.
USER:No, change the time to 7 pm and for one person only.
SYSTEM:Alright, please confirm that the reservation is at 7 pm for 1 person.
USER:No, change it on next friday.
SYSTEM:Sure. Please confirm that the date is now next Friday and for 1 person.
USER:Yes. Sounds good.
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'Pleasanton', 'date': '2019-03-08', 'party_size': '1', 'restaurant_name': ""Gay 90's Pizza Co."", 'time': '19:00'}}]"
1_00011,"USER:Can you help me find a place to eat at?
SYSTEM:Which city are you looking in?
USER:Cupertino, please.
SYSTEM:What kind of food would you like? American, Indian, or something else?
USER:Malaysian sounds good right now.
SYSTEM:I've found 2 Malaysian restaurants in Cupertino. Merlion Restaurant & Bar is one.
USER:What's the other one?
SYSTEM:Rasa Sayang is also is Cupertino.
USER:Does the restaurant have live music?
SYSTEM:No, they do now.
USER:Sounds fine to me. Can you help me make a reservation?
SYSTEM:At what time?
USER:A quarter past 5 in the evening, please.
SYSTEM:So you'd like a reservation for 2 at 5:15 pm today, at Rasa Sayang in Cupertino?
USER:No, I'd like it on March 13th.
SYSTEM:So you'd like a reservation at 5:15 pm on March 13th?
USER:No, I'd like it at half past 12 in the afternoon.
SYSTEM:So you'd like a reservation at 12:30 pm on March 13th?
USER:Yes, sounds good.
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'Cupertino', 'date': '2019-03-13', 'party_size': '2', 'restaurant_name': 'Rasa Sayang', 'time': '12:30'}}]"
1_00015,"USER:Can you pull up a list of places to eat?
SYSTEM:Sure, what city should I search? And what kind of food would you like?
USER:Search San Francisco for Asian Fusion food
SYSTEM:Sure, I found 8 Immortals Restaurant in San Francisco
USER:Is there live music?
SYSTEM:Unfortunately no.
USER:Do they serve alcohol? And what's their phone number?
SYSTEM:No alcohol. The phone number is 415-731-5515
USER:Okay great. Please make a reservation for a party of six.
SYSTEM:Sure, what time?
USER:half past 5 in the evening please.
SYSTEM:Okay, got it. I will book a table at 8 Immortals Restaurant in San Francisco for 5:30 pm today, for 6 people.
USER:That's correct. What's the address?
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'San Francisco', 'date': '2019-03-01', 'party_size': '6', 'restaurant_name': '8 Immortals Restaurant', 'time': '17:30'}}]"
1_00016,"USER:I'm looking for a good place to get something to eat, can you help?
SYSTEM:Sure. What kind of food do you want? You can ask for Mexican, American, Sushi, or anything else. And also, what city should I search in?
USER:Oh, I'm in Oakland. Please find an American restaurant.
SYSTEM:I'd recommend Chop Bar in Oakland.
USER:Are their prices extravagant? How can I contact them.
SYSTEM:No, their prices are moderate. Their phone number is 510-834-2467.
USER:Okay, that sounds good. Can you reserve a table for me?
SYSTEM:What time would you like it?
USER:Please reserve it for six pm.
SYSTEM:Sure, please confirm that you'd like to book a table for 2 at Chop Bar in Oakland from 6 pm today.
USER:Yes that's perfect. What's their address? Do they have a live band?
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'Oakland', 'date': '2019-03-01', 'party_size': '2', 'restaurant_name': 'Chop Bar', 'time': '18:00'}}]"
1_00019,"USER:Are there any Mexican places in Rohnert Park?
SYSTEM:Chili's Grill & Bar is in Rohnert Park.
USER:Is it an inexpensive restaurant?
SYSTEM:It is a moderate priced place.
USER:What's their phone number?
SYSTEM:It is 707-585-9069.
USER:Are there any other restaurants? Something like Ramen would be good. I want something that is not very costly.
SYSTEM:1 restaurant named Kyoto fits that description. It's in Rohnert Park as well.
USER:That would be great!
SYSTEM:Is there anything else I can do?
USER:Make a reservation this morning 11:15 for three people.
SYSTEM:Just to confirm: I am booking a table for 3 today at 11:15 am at the Rohnert Park location of Kyoto.
USER:That's correct. What's their address?
",['Restaurants_1'],"['ReserveRestaurant', 'FindRestaurants']","[{'method': 'ReserveRestaurant', 'parameters': {'city': 'Rohnert Park', 'date': '2019-03-01', 'party_size': '3', 'restaurant_name': 'Kyoto', 'time': '11:15'}}]"
